index,hold_years,years,adjust_currency,adjust_inflation,simulations,mean,median,std_dev,std_err,min,max
euro-stoxx-50-index,5.0,10,ignore-currency,adjust-inflation,18744,0.026584197945152533,0.0294366079592705,0.03048732019374085,0.00022268353872359635,-0.04761117034994722,0.13973964714838938
euro-stoxx-50-index,1.0,10,ignore-currency,adjust-inflation,33820,0.0446315076089061,0.055553618488667245,0.1419997985863564,0.0007721486682594925,-0.30106473307742754,0.6413884302427375
euro-stoxx-50-index,3.0,10,ignore-currency,adjust-inflation,26279,0.021965183101926754,0.024694391495243107,0.04442776474342137,0.000274062771983088,-0.1216323610800546,0.1591460394404265
euro-stoxx-50-index,5.0,15,ignore-currency,adjust-inflation,37581,0.02596031599615648,0.026435001488912535,0.03322582620991851,0.00017139242479613702,-0.09130565323497353,0.13973964714838938
euro-stoxx-50-index,1.0,15,ignore-currency,adjust-inflation,52644,0.03649802936203467,0.06009627854359445,0.1491006486273852,0.0006498379834247327,-0.3136570769439786,0.6413884302427375
euro-stoxx-50-index,3.0,15,ignore-currency,adjust-inflation,45102,0.031030907760128745,0.026918463347496924,0.049169259733171336,0.00023152386802605414,-0.1216323610800546,0.2004770897910344
euro-stoxx-50-index,10.0,15,ignore-currency,adjust-inflation,18745,0.02565544529241531,0.023940662516467093,0.012226104666774762,8.929875151289718e-05,-0.0071905476885357755,0.06718506502279697
euro-stoxx-50-index,10.0,20,ignore-currency,adjust-inflation,37582,0.006071216226009073,0.014891572403917475,0.027239718654327384,0.0001405117599711678,-0.04738532257615313,0.06718506502279697
euro-stoxx-50-index,3.0,20,ignore-currency,adjust-inflation,63980,-0.0066924588118191745,0.006245904995166418,0.07823496061654699,0.00030929916702338646,-0.2418890589801147,0.2004770897910344
euro-stoxx-50-index,1.0,20,ignore-currency,adjust-inflation,71499,0.015113744419193676,0.044375498961474635,0.17416584664506402,0.0006513478912285931,-0.543088281757218,0.6413884302427375
euro-stoxx-50-index,5.0,20,ignore-currency,adjust-inflation,56448,0.0011714758837599493,0.01356958606821046,0.059011266640613735,0.0002483765881427707,-0.1668967769787617,0.13973964714838938
euro-stoxx-50-index,1.0,25,ignore-currency,adjust-inflation,90333,0.0046816463112227475,0.043960432167081676,0.1866934380276268,0.0006211633688635558,-0.543088281757218,0.6413884302427375
euro-stoxx-50-index,3.0,25,ignore-currency,adjust-inflation,82824,-0.0013019154245326873,0.010805737615852462,0.09119758024249247,0.0003168875777196745,-0.24901615872722815,0.25174885729201657
euro-stoxx-50-index,5.0,25,ignore-currency,adjust-inflation,75272,-0.0015225963209493133,0.008015774672489262,0.05854458239919942,0.00021338799595983765,-0.1668967769787617,0.13973964714838938
euro-stoxx-50-index,10.0,25,ignore-currency,adjust-inflation,56428,-0.006122012016298529,-0.0038538165581080697,0.032537156144522295,0.00013697214680630156,-0.08666304597332863,0.06718506502279697
euro-stoxx-50-index,1.0,max,ignore-currency,adjust-inflation,96813,0.011877855354003805,0.046213945278674506,0.19578468986738778,0.0006292335757899937,-0.543088281757218,0.6413884302427375
euro-stoxx-50-index,5.0,max,ignore-currency,adjust-inflation,81767,-0.00897112729361972,0.0034074433258031167,0.061921723576894384,0.00021654791390902082,-0.1668967769787617,0.13973964714838938
euro-stoxx-50-index,3.0,max,ignore-currency,adjust-inflation,89244,-0.012657179075019396,0.002036359123008924,0.10006000052750559,0.00033494306262568186,-0.3203137659389228,0.25174885729201657
euro-stoxx-50-index,10.0,max,ignore-currency,adjust-inflation,62877,-0.012618364390502842,-0.007720788937146672,0.03653660043145266,0.00014570760828488619,-0.09551106956383348,0.06718506502279697
euro-stoxx-index-eur,1.0,10,ignore-currency,adjust-inflation,33820,0.04203141708800778,0.0460388501581982,0.1409138495333534,0.0007662436309043586,-0.31698564861159184,0.6502725927271595
euro-stoxx-index-eur,3.0,10,ignore-currency,adjust-inflation,26279,0.017696811790450493,0.014971040271214875,0.04174123400792359,0.00025749029608563,-0.11399899682565062,0.14603760322583037
euro-stoxx-index-eur,5.0,10,ignore-currency,adjust-inflation,18744,0.024663473793047435,0.02289065032615878,0.029857434329166835,0.0002180827665854105,-0.046079172912508626,0.12636698866750007
euro-stoxx-index-eur,1.0,15,ignore-currency,adjust-inflation,52644,0.040756818823511815,0.062008425898379516,0.1467816473225995,0.0006397308836546484,-0.31698564861159184,0.6502725927271595
euro-stoxx-index-eur,3.0,15,ignore-currency,adjust-inflation,45102,0.03617151540700629,0.033133418417743976,0.05008094255115104,0.0002358167195673832,-0.11399899682565062,0.21068603613048054
euro-stoxx-index-eur,5.0,15,ignore-currency,adjust-inflation,37581,0.03338858287947987,0.029187142005307587,0.03493195943464826,0.00018019335900208288,-0.07840363975831266,0.12636698866750007
euro-stoxx-index-eur,10.0,15,ignore-currency,adjust-inflation,18745,0.03304312192207043,0.028663723988283207,0.014240070981786522,0.00010400864337308385,-0.0007517371979353094,0.07861031093505488
euro-stoxx-index-eur,10.0,max,ignore-currency,adjust-inflation,25072,0.03199089991729785,0.02844181245374444,0.014456608344296275,9.130024139436051e-05,-0.017186443325192813,0.07861031093505488
euro-stoxx-index-eur,3.0,max,ignore-currency,adjust-inflation,51425,0.03013508221650806,0.026708346437450015,0.05105525830897006,0.0002251403451883179,-0.11399899682565062,0.21068603613048054
euro-stoxx-index-eur,5.0,max,ignore-currency,adjust-inflation,43907,0.0354249669472371,0.0323155976664542,0.03383272373240862,0.00016146190799667248,-0.07840363975831266,0.12636698866750007
